Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      383     0.00     0.00  fmt::v8::detail::buffer<char>::try_reserve(unsigned long)
  0.00      0.00     0.00      244     0.00     0.00  fmt::v8::detail::buffer<char>::push_back(char const&)
  0.00      0.00     0.00      240     0.00     0.00  char const* std::__miter_base<char const*>(char const*)
  0.00      0.00     0.00      240     0.00     0.00  char const* std::__niter_base<char const*>(char const*)
  0.00      0.00     0.00      228     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.00     0.00      210     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00      200     0.00     0.00  pRPL::CellCoord::iCol() const
  0.00      0.00     0.00      196     0.00     0.00  pRPL::CellCoord::iRow() const
  0.00      0.00     0.00      193     0.00     0.00  fmt::v8::basic_string_view<char>::size() const
  0.00      0.00     0.00      191     0.00     0.00  pRPL::CellCoord::~CellCoord()
  0.00      0.00     0.00      182     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00      172     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00      164     0.00     0.00  std::make_unsigned<long>::type fmt::v8::detail::to_unsigned<long>(long)
  0.00      0.00     0.00      152     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.00     0.00      148     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00      140     0.00     0.00  std::move_iterator<int*>::base() const
  0.00      0.00     0.00      140     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      0.00     0.00      140     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<int*>(std::move_iterator<int*>)
  0.00      0.00     0.00      140     0.00     0.00  int* std::__miter_base<int*>(int*)
  0.00      0.00     0.00      140     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int, std::move_iterator<int*> >(int*)
  0.00      0.00     0.00      138     0.00     0.00  std::vector<pRPL::CellCoord, std::allocator<pRPL::CellCoord> >::operator[](unsigned long) const
  0.00      0.00     0.00      129     0.00     0.00  char* std::__niter_base<char*>(char*)
  0.00      0.00     0.00      128     0.00     0.00  fmt::v8::basic_string_view<char>::data() const
  0.00      0.00     0.00      127     0.00     0.00  void fmt::v8::detail::buffer<char>::append<char>(char const*, char const*)
  0.00      0.00     0.00      123     0.00     0.00  char* fmt::v8::detail::make_checked<char>(char*, unsigned long)
  0.00      0.00     0.00      123     0.00     0.00  char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char>(char const*, char const*, char*)
  0.00      0.00     0.00      120     0.00     0.00  std::_List_iterator<pRPL::Layer>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00      120     0.00     0.00  char* std::__uninitialized_copy<true>::__uninit_copy<char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00      120     0.00     0.00  char* std::__copy_move_a<false, char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00      120     0.00     0.00  char* std::__copy_move_a2<false, char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00      120     0.00     0.00  char* std::uninitialized_copy<char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00      120     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.00     0.00      120     0.00     0.00  char* std::uninitialized_copy_n<char const*, unsigned long, char*>(char const*, unsigned long, char*)
  0.00      0.00     0.00      120     0.00     0.00  char* std::__uninitialized_copy_n<char const*, unsigned long, char*>(char const*, unsigned long, char*, std::random_access_iterator_tag)
  0.00      0.00     0.00      120     0.00     0.00  char* std::copy<char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00      118     0.00     0.00  __gnu_cxx::__aligned_membuf<pRPL::Layer>::_M_ptr()
